/home/fonwin/f9utws.block/logs/20190828/omstws.log.TwsNew.g4.txt
Count=1000|Abandoned=0|Rejected=0|Sending=1000|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
697|20190828053224.340287|20190828053224.340300|20190828053224.340308|13|8|5|12|16
699|20190828053224.340293|20190828053224.340307|20190828053224.340311|14|4|6|7|3
701|20190828053224.340296|20190828053224.340308|20190828053224.340313|12|5|3|1|2
703|20190828053224.340303|20190828053224.340310|20190828053224.340316|7|6|7|2|3
705|20190828053224.340309|20190828053224.340315|20190828053224.340318|6|3|6|5|2
707|20190828053224.340313|20190828053224.340318|20190828053224.340335|5|17|4|3|17
709|20190828053224.340319|20190828053224.340341|20190828053224.340349|22|8|6|23|14
711|20190828053224.340333|20190828053224.340343|20190828053224.340351|10|8|14|2|2
713|20190828053224.340337|20190828053224.340349|20190828053224.340354|12|5|4|6|3
715|20190828053224.340342|20190828053224.340350|20190828053224.340356|8|6|5|1|2
717|20190828053224.340347|20190828053224.340352|20190828053224.340358|5|6|5|2|2
719|20190828053224.340352|20190828053224.340363|20190828053224.340371|11|8|5|11|13
721|20190828053224.340357|20190828053224.340371|20190828053224.340376|14|5|5|8|5
723|20190828053224.340360|20190828053224.340373|20190828053224.340379|13|6|3|2|3
725|20190828053224.340367|20190828053224.340379|20190828053224.340386|12|7|7|6|7
727|20190828053224.340372|20190828053224.340381|20190828053224.340388|9|7|5|2|2
729|20190828053224.340376|20190828053224.340383|20190828053224.340392|7|9|4|2|4
731|20190828053224.340382|20190828053224.340388|20190828053224.340394|6|6|6|5|2
733|20190828053224.340386|20190828053224.340390|20190828053224.340398|4|8|4|2|4
735|20190828053224.340391|20190828053224.340402|20190828053224.340412|11|10|5|12|14
737|20190828053224.340396|20190828053224.340410|20190828053224.340415|14|5|5|8|3
739|20190828053224.340399|20190828053224.340411|20190828053224.340417|12|6|3|1|2
741|20190828053224.340405|20190828053224.340413|20190828053224.340433|8|20|6|2|16
743|20190828053224.340411|20190828053224.340431|20190828053224.340435|20|4|6|18|2
745|20190828053224.340414|20190828053224.340439|20190828053224.340445|25|6|3|8|10
747|20190828053224.340419|20190828053224.340441|20190828053224.340448|22|7|5|2|3
749|20190828053224.340433|20190828053224.340449|20190828053224.340456|16|7|14|8|8
751|20190828053224.340436|20190828053224.340451|20190828053224.340458|15|7|3|2|2
753|20190828053224.340442|20190828053224.340459|20190828053224.340466|17|7|6|8|8
755|20190828053224.340446|20190828053224.340461|20190828053224.340469|15|8|4|2|3
757|20190828053224.340452|20190828053224.340469|20190828053224.340477|17|8|6|8|8
759|20190828053224.340456|20190828053224.340471|20190828053224.340480|15|9|4|2|3
761|20190828053224.340462|20190828053224.340479|20190828053224.340483|17|4|6|8|3
763|20190828053224.340465|20190828053224.340480|20190828053224.340485|15|5|3|1|2
765|20190828053224.340472|20190828053224.340486|20190828053224.340494|14|8|7|6|9
767|20190828053224.340475|20190828053224.340488|20190828053224.340497|13|9|3|2|3
769|20190828053224.340482|20190828053224.340491|20190828053224.340499|9|8|7|3|2
771|20190828053224.340488|20190828053224.340496|20190828053224.340502|8|6|6|5|3
773|20190828053224.340491|20190828053224.340498|20190828053224.340504|7|6|3|2|2
775|20190828053224.340498|20190828053224.340511|20190828053224.340520|13|9|7|13|16
777|20190828053224.340503|20190828053224.340520|20190828053224.340528|17|8|5|9|8
779|20190828053224.340506|20190828053224.340522|20190828053224.340531|16|9|3|2|3
781|20190828053224.340513|20190828053224.340530|20190828053224.340537|17|7|7|8|6
783|20190828053224.340517|20190828053224.340533|20190828053224.340540|16|7|4|3|3
785|20190828053224.340523|20190828053224.340539|20190828053224.340542|16|3|6|6|2
787|20190828053224.340526|20190828053224.340540|20190828053224.340545|14|5|3|1|3
789|20190828053224.340533|20190828053224.340546|20190828053224.340554|13|8|7|6|9
791|20190828053224.340536|20190828053224.340548|20190828053224.340556|12|8|3|2|2
793|20190828053224.340542|20190828053224.340551|20190828053224.340559|9|8|6|3|3
795|20190828053224.340547|20190828053224.340557|20190828053224.340561|10|4|5|6|2
797|20190828053224.340551|20190828053224.340562|20190828053224.340570|11|8|4|5|9
799|20190828053224.340554|20190828053224.340564|20190828053224.340572|10|8|3|2|2
801|20190828053224.340561|20190828053224.340567|20190828053224.340575|6|8|7|3|3
803|20190828053224.340566|20190828053224.340577|20190828053224.340585|11|8|5|10|10
805|20190828053224.340572|20190828053224.340585|20190828053224.340590|13|5|6|8|5
807|20190828053224.340575|20190828053224.340587|20190828053224.340592|12|5|3|2|2
809|20190828053224.340581|20190828053224.340590|20190828053224.340595|9|5|6|3|3
