/home/fonwin/f9utws.busy/logs/20190828/omstws.log.TwsNew.g3.txt
Count=100|Abandoned=0|Rejected=0|Sending=100|Queuing=0
ReqSNO|T0|T1|T2|(T1-T0)|(T2-T1)|T0-|T1-|T2-
157|20190828052600.595588|20190828052600.595604|20190828052600.595610|16|6|11|1|2
159|20190828052600.595600|20190828052600.595621|20190828052600.595626|21|5|12|17|16
161|20190828052600.595616|20190828052600.595630|20190828052600.595635|14|5|16|9|9
163|20190828052600.595626|20190828052600.595639|20190828052600.595644|13|5|10|9|9
165|20190828052600.595633|20190828052600.595663|20190828052600.595670|30|7|7|24|26
167|20190828052600.595643|20190828052600.595667|20190828052600.595673|24|6|10|4|3
169|20190828052600.595651|20190828052600.595668|20190828052600.595675|17|7|8|1|2
171|20190828052600.595661|20190828052600.595671|20190828052600.595677|10|6|10|3|2
173|20190828052600.595666|20190828052600.595694|20190828052600.595699|28|5|5|23|22
175|20190828052600.595676|20190828052600.595695|20190828052600.595702|19|7|10|1|3
177|20190828052600.595688|20190828052600.595708|20190828052600.595713|20|5|12|13|11
179|20190828052600.595697|20190828052600.595728|20190828052600.595734|31|6|9|20|21
181|20190828052600.595704|20190828052600.595729|20190828052600.595737|25|8|7|1|3
183|20190828052600.595707|20190828052600.595730|20190828052600.595739|23|9|3|1|2
185|20190828052600.595711|20190828052600.595731|20190828052600.595742|20|11|4|1|3
187|20190828052600.595718|20190828052600.595732|20190828052600.595744|14|12|7|1|2
189|20190828052600.595726|20190828052600.595737|20190828052600.595747|11|10|8|5|3
191|20190828052600.595739|20190828052600.595754|20190828052600.595758|15|4|13|17|11
193|20190828052600.595749|20190828052600.595770|20190828052600.595775|21|5|10|16|17
195|20190828052600.595767|20190828052600.595780|20190828052600.595784|13|4|18|10|9
197|20190828052600.595777|20190828052600.595790|20190828052600.595795|13|5|10|10|11
199|20190828052600.595783|20190828052600.595809|20190828052600.595814|26|5|6|19|19
201|20190828052600.595794|20190828052600.595811|20190828052600.595817|17|6|11|2|3
203|20190828052600.595802|20190828052600.595828|20190828052600.595834|26|6|8|17|17
205|20190828052600.595811|20190828052600.595830|20190828052600.595837|19|7|9|2|3
207|20190828052600.595821|20190828052600.595843|20190828052600.595847|22|4|10|13|10
209|20190828052600.595830|20190828052600.595844|20190828052600.595850|14|6|9|1|3
211|20190828052600.595836|20190828052600.595854|20190828052600.595859|18|5|6|10|9
213|20190828052600.595843|20190828052600.595856|20190828052600.595862|13|6|7|2|3
215|20190828052600.595853|20190828052600.595871|20190828052600.595876|18|5|10|15|14
217|20190828052600.595864|20190828052600.595872|20190828052600.595878|8|6|11|1|2
219|20190828052600.595870|20190828052600.595890|20190828052600.595895|20|5|6|18|17
221|20190828052600.595883|20190828052600.595892|20190828052600.595898|9|6|13|2|3
223|20190828052600.595889|20190828052600.595904|20190828052600.595909|15|5|6|12|11
225|20190828052600.595902|20190828052600.595921|20190828052600.595926|19|5|13|17|17
227|20190828052600.595916|20190828052600.595938|20190828052600.595942|22|4|14|17|16
229|20190828052600.595926|20190828052600.595939|20190828052600.595945|13|6|10|1|3
231|20190828052600.595931|20190828052600.595955|20190828052600.595961|24|6|5|16|16
233|20190828052600.595940|20190828052600.595957|20190828052600.595973|17|16|9|2|12
235|20190828052600.595949|20190828052600.595976|20190828052600.595980|27|4|9|19|7
Spend(us)|833|791|779
Avg(us)|8.33|7.91|7.79
T1-T0|50%=17|75%=24|90%=28|99%=69|99.9%=69|99.99%=69|Worst=42|55|69|
T2-T1|50%=6|75%=9|90%=18|99%=30|99.9%=30|99.99%=30|Worst=29|30|30|
T0-|50%=7|75%=10|90%=16|99%=21|99.9%=21|99.99%=21|Worst=19|20|21|
T1-|50%=5|75%=14|90%=19|99%=34|99.9%=34|99.99%=34|Worst=24|26|34|
T2-|50%=3|75%=12|90%=17|99%=31|99.9%=31|99.99%=31|Worst=26|26|31|
